PM10,PM25,SO2,CO,O3,NO2,kategori
59,79,21,26,15,31,1
23,33,19,11,14,19,0
29,36,20,14,12,21,0
25,23,19,7,19,12,0
33,40,22,12,14,22,0
32,38,21,10,12,16,0
26,37,23,13,9,17,0
25,37,20,9,19,16,0
33,47,18,11,19,19,0
39,57,23,23,12,33,1
43,59,29,13,12,29,1
50,64,22,11,20,23,1
30,42,22,10,9,16,0
31,48,26,12,14,17,0
49,67,23,15,17,31,1
43,60,19,12,19,18,1
30,42,38,4,55,15,1
24,35,38,4,42,15,0
33,50,39,7,47,15,0
25,35,39,5,45,13,0
33,50,39,6,47,16,0
34,46,39,4,49,10,0
33,49,43,6,35,11,0
43,62,43,14,33,11,1
27,47,38,8,40,11,0
34,53,40,11,42,14,1
41,61,40,25,41,27,1
32,51,42,16,41,20,1
48,61,40,9,54,17,1
30,39,40,10,33,10,0
30,45,43,12,45,12,0
59,71,44,15,50,20,1
73,110,28,18,26,18,2
53,70,25,10,27,14,1
32,53,27,6,24,9,1
29,54,26,11,24,13,1
34,53,24,8,32,12,1
26,42,24,9,35,12,0
33,53,25,9,23,12,1
38,57,23,6,18,7,1
63,98,25,13,20,8,1
59,89,26,12,30,13,1
55,73,25,11,35,13,1
40,62,24,9,32,12,1
36,51,24,9,34,15,1
28,51,25,13,23,14,1
45,59,25,13,29,15,1
29,42,24,7,30,9,0
68,103,26,22,30,14,2
66,90,26,12,29,16,1
27,54,25,6,24,7,1
50,73,27,10,41,16,1
37,59,40,14,22,12,1
38,53,29,6,31,13,1
27,46,27,7,47,7,0
44,58,25,7,40,13,1
38,53,24,6,31,9,1
35,47,22,6,39,10,0
47,61,16,27,22,12,1
38,54,17,14,27,10,1
34,44,17,13,20,9,0
52,73,15,17,25,14,1
40,52,16,11,26,12,1
35,34,12,12,22,13,0
43,51,13,14,28,15,1
72,108,14,43,44,20,2
56,82,13,29,62,15,1
52,70,14,19,28,13,1
27,41,14,18,17,11,0
30,53,16,17,24,11,1
27,37,13,16,24,12,0
38,58,2,11,65,6,1
24,39,13,10,59,14,1
35,54,13,12,68,13,1
27,51,15,7,77,15,1
33,44,13,10,68,7,1
28,49,11,6,65,11,1
42,60,11,14,65,12,1
42,45,11,6,72,6,1
62,86,14,26,134,14,2
21,29,25,7,63,5,1
28,49,25,10,53,7,1
27,39,25,10,64,8,1
43,56,15,10,33,5,1
64,93,14,20,35,5,1
50,67,13,15,17,4,1
59,89,15,19,42,7,1
52,81,18,28,52,11,1
22,52,16,12,44,5,1
25,77,17,32,31,8,1
15,33,16,7,23,4,0
29,78,20,14,40,8,1
24,82,19,16,64,6,1
70,92,19,16,60,7,1
58,86,22,11,43,9,1
51,64,21,7,38,5,1
42,56,19,7,37,6,1
84,112,20,33,57,10,2
64,90,19,31,34,10,1
54,79,18,15,50,7,1
33,37,17,5,30,4,0
28,16,17,9,48,4,0
46,13,16,10,41,4,0
62,103,40,19,33,11,2
60,102,41,23,34,14,2
58,81,40,16,19,6,1
24,55,41,10,18,8,1
56,89,40,21,21,12,1
28,53,39,9,25,9,1
37,69,41,10,20,9,1
57,101,46,13,37,18,2
68,125,45,16,37,22,2
57,91,42,12,42,15,1
55,98,44,12,38,18,1
57,85,41,16,22,17,1
52,78,41,15,20,11,1
36,68,41,8,19,12,1
52,83,42,17,31,16,1
50,75,41,14,37,16,1
49,79,24,13,20,21,1
43,75,26,14,20,28,1
53,88,25,25,16,42,1
53,91,27,21,17,39,1
35,62,33,6,19,10,1
55,92,34,17,18,33,1
65,117,31,17,28,32,2
58,96,35,10,33,16,1
56,89,32,9,22,17,1
37,62,24,6,17,9,1
26,52,21,4,13,6,1
23,53,23,4,21,5,1
48,79,24,10,23,19,1
51,83,38,12,24,23,1
44,72,35,8,18,18,1
24,55,48,8,14,10,1
42,63,43,8,21,13,1
61,90,43,15,27,21,1
66,108,47,18,35,24,2
52,78,44,13,31,20,1
52,79,42,13,31,14,1
55,87,42,27,25,27,1
61,90,42,17,21,20,1
63,109,43,20,27,19,2
56,90,45,10,34,17,1
64,103,43,16,27,17,2
60,99,45,10,34,17,1
67,112,19,13,31,24,2
65,98,33,13,31,20,1
64,117,37,11,22,14,2
75,138,38,11,27,13,2
55,94,37,9,28,17,1
51,78,37,12,23,19,1
15,34,24,3,16,4,0
35,58,38,7,19,16,1
21,47,20,6,22,12,0
62,102,20,30,19,37,2
47,76,24,12,22,28,1
25,42,30,4,17,6,0
32,55,51,5,14,12,1
52,77,34,7,18,21,1
24,52,40,9,21,8,1
19,53,40,12,19,10,1
18,48,40,7,28,6,0
17,44,39,10,21,9,0
31,57,40,13,19,9,1
30,58,40,13,20,8,1
21,50,40,7,16,5,0
43,62,40,11,25,9,1
34,57,39,11,26,9,1
38,66,40,22,21,15,1
37,60,41,10,22,11,1
25,51,39,16,20,13,1
33,63,39,12,24,12,1
21,50,39,10,23,10,0
59,95,40,21,25,12,1
51,83,40,16,24,11,1
42,61,39,9,13,6,1
16,45,39,9,19,4,0
59,94,40,13,30,12,1
68,113,39,18,24,14,2
70,126,29,26,15,34,2
23,40,27,5,16,10,0
32,59,28,9,14,17,1
31,52,27,7,13,11,1
23,50,36,6,10,13,0
27,55,27,5,20,8,1
36,61,24,9,20,11,1
32,56,24,10,18,17,1
38,60,41,8,17,17,1
27,52,24,16,14,33,1
32,52,22,10,21,15,1
24,40,28,4,11,7,0
28,52,31,7,13,23,1
39,64,27,10,25,24,1
50,77,22,9,22,13,1
45,77,31,9,24,18,1
55,93,29,11,32,16,1
62,108,32,13,32,19,2
62,105,25,15,25,25,2
56,96,26,9,39,17,1
66,111,26,12,33,22,2
58,97,23,12,27,19,1
52,82,28,10,26,19,1
49,81,21,10,26,22,1
43,73,22,14,26,25,1
52,71,23,10,20,33,1
53,70,26,10,20,20,1
58,82,22,18,14,38,1
49,65,19,16,18,38,1
52,69,20,12,19,28,1
41,57,18,9,26,21,1
47,69,19,10,25,21,1
60,88,24,12,25,24,1
59,79,21,10,25,21,1
70,110,24,14,24,20,2
52,72,24,8,25,14,1
51,67,26,11,20,19,1
51,65,23,8,20,16,1
26,42,22,11,13,19,0
41,54,27,11,17,19,1
57,78,21,23,14,33,1
52,69,22,15,18,27,1
33,55,27,10,14,18,1
30,47,25,11,13,19,0
38,55,33,12,13,22,1
54,69,26,14,15,28,1
48,66,23,13,17,29,1
45,68,31,12,25,31,1
55,69,26,20,15,31,1
55,68,23,18,21,40,1
51,71,27,15,25,32,1
56,74,24,24,21,40,1
65,101,24,19,19,41,2
57,79,24,11,25,26,1
56,83,25,12,21,30,1
63,87,24,19,14,37,1
54,81,25,14,23,40,1
66,99,25,16,21,42,1
63,86,24,15,17,36,1
56,79,26,10,22,24,1
54,77,21,15,21,34,1
57,71,23,17,18,38,1
61,84,23,18,20,42,1
22,38,28,9,43,10,0
39,57,34,11,42,13,1
23,51,33,9,57,10,1
54,69,30,13,59,18,1
39,57,34,10,40,14,1
44,61,34,9,50,19,1
54,72,42,12,60,22,1
69,93,51,20,54,23,1
65,81,55,16,65,22,1
67,85,55,21,50,34,1
69,94,55,17,50,28,1
76,101,56,16,50,22,2
63,92,52,11,60,14,1
75,101,51,15,65,20,2
88,115,61,17,73,25,2
74,101,55,15,58,20,2
74,97,51,11,65,17,1
61,81,51,13,56,18,1
69,85,60,15,44,26,1
71,91,57,14,55,21,1
51,70,33,8,37,10,1
35,51,32,3,34,5,1
52,72,27,14,32,22,1
50,75,19,7,32,14,1
58,93,19,13,27,17,1
70,100,20,11,32,16,1
57,73,19,9,41,15,1
59,88,19,13,27,19,1
64,104,13,9,34,16,2
39,23,10,12,26,17,0
22,49,41,7,18,12,0
37,62,44,11,18,12,1
64,103,43,26,23,20,2
52,80,43,14,23,16,1
49,67,19,21,17,35,1
51,75,22,18,19,31,1
52,69,20,16,16,30,1
51,73,20,22,15,37,1
57,88,23,23,19,31,1
47,63,21,16,11,19,1
36,50,23,15,10,22,0
45,65,20,20,14,27,1
27,35,19,9,15,21,0
44,58,24,12,13,25,1
37,62,27,13,13,25,1
39,60,23,14,10,19,1
45,70,29,18,13,34,1
55,80,32,13,21,36,1
64,102,30,15,25,40,2
60,88,29,14,24,35,1
55,80,28,16,19,31,1
43,55,21,11,18,17,1
38,61,21,13,14,18,1
37,54,23,11,12,16,1
32,53,21,10,9,15,1
50,69,23,19,19,28,1
55,77,19,19,21,37,1
53,69,24,15,14,30,1
43,57,22,13,15,23,1
48,66,45,13,38,18,1
55,61,50,12,53,21,1
65,81,54,16,59,26,1
71,89,59,23,52,31,1
60,84,29,23,51,27,1
52,65,28,16,41,15,1
51,55,27,13,33,15,1
56,81,42,21,42,26,1
38,50,26,9,43,9,0
51,60,27,12,45,19,1
40,58,29,11,41,16,1
50,62,27,12,37,15,1
51,72,33,15,49,19,1
78,107,55,20,53,41,2
78,115,43,14,74,23,2
73,93,39,13,59,26,1
48,55,30,9,44,11,1
36,53,29,9,41,13,1
62,83,49,12,63,19,1
57,76,43,15,71,18,1
65,88,48,18,67,25,1
53,68,34,13,55,17,1
39,58,30,12,48,18,1
54,71,26,13,41,14,1
57,83,27,18,38,20,1
56,77,29,13,28,19,1
60,89,28,14,25,14,1
53,72,29,7,23,9,1
52,73,28,10,16,10,1
51,76,28,9,25,10,1
59,88,40,8,41,18,1
71,106,32,11,39,19,2
61,99,35,7,42,18,1
65,106,31,12,45,17,2
62,93,26,15,36,10,1
51,77,26,9,27,8,1
43,64,26,6,27,8,1
38,62,26,7,28,9,1
55,79,27,13,39,11,1
51,73,30,11,56,19,1
47,63,27,10,43,17,1
51,19,26,14,48,21,1
56,22,12,18,32,25,1
56,96,40,13,19,9,1
46,81,39,17,29,14,1
81,108,66,18,44,35,2
62,75,55,14,44,28,1
59,72,54,14,38,27,1
66,91,51,13,51,28,1
80,99,54,14,42,28,1
70,84,58,12,40,23,1
62,79,53,9,53,17,1
67,94,57,11,57,18,1
65,93,53,16,61,28,1
75,102,52,12,51,18,2
58,87,44,8,23,15,1
63,95,45,11,26,19,1
54,82,48,7,34,15,1
59,88,48,8,26,16,1
67,97,48,14,26,22,1
49,71,49,6,32,12,1
73,114,52,9,24,21,2
63,89,51,10,21,17,1
66,99,50,14,21,19,1
63,93,50,7,18,22,1
80,111,52,7,24,29,2
53,64,48,4,22,17,1
59,89,52,9,29,23,1
69,106,51,9,26,19,2
58,81,50,6,26,14,1
71,30,52,8,25,19,1
54,89,41,11,32,20,1
62,100,43,7,41,17,1
57,93,41,11,36,23,1
56,93,41,9,38,20,1
68,108,37,9,32,28,2
49,80,36,12,32,23,1
63,103,35,13,28,21,2
67,111,42,13,22,25,2
62,88,35,20,19,22,1
64,102,35,28,20,28,2
67,102,38,19,18,24,2
56,102,31,19,15,31,2
74,140,36,22,20,26,2
51,90,29,14,19,21,1
47,84,33,16,21,22,1
58,107,38,14,23,25,2
82,147,39,18,20,24,2
67,118,36,10,26,18,2
60,117,36,18,30,22,2
65,125,36,14,21,29,2
52,91,25,12,27,28,1
52,86,29,9,28,19,1
53,87,22,10,29,25,1
47,77,25,10,23,20,1
56,89,42,10,16,27,1
58,97,28,25,9,55,1
54,90,30,17,16,41,1
62,101,28,23,16,45,2
53,83,34,19,11,45,1
74,123,47,26,20,58,2
50,68,23,16,12,35,1
35,67,28,13,13,35,1
58,103,26,14,23,28,2
64,107,39,19,17,52,2
76,129,35,30,14,63,2
68,102,27,11,27,22,2
71,106,28,12,34,25,2
56,74,26,9,29,29,1
64,86,34,10,22,27,1
68,94,32,10,26,26,1
46,59,29,5,18,13,1
63,89,33,10,18,24,1
53,69,28,10,17,23,1
66,95,31,12,24,30,1
71,97,30,11,24,29,1
63,80,29,8,28,20,1
63,89,31,8,32,19,1
74,100,27,15,24,24,1
48,66,27,7,26,17,1
61,91,29,10,23,28,1
73,105,29,12,39,35,2
64,81,53,12,48,28,1
72,100,54,11,44,23,1
94,129,51,15,50,23,2
77,111,56,12,62,20,2
84,108,54,11,51,23,2
59,83,22,18,19,35,1
54,76,22,20,17,41,1
63,87,20,13,14,30,1
59,83,22,15,19,32,1
66,89,23,23,18,47,1
59,77,22,15,23,40,1
51,70,23,14,25,25,1
58,82,25,13,22,26,1
62,86,31,13,17,29,1
56,74,39,18,13,35,1
56,80,28,25,17,39,1
64,84,29,17,16,34,1
54,68,26,21,13,45,1
75,109,33,25,21,44,2
44,58,27,15,16,32,1
54,79,26,17,24,43,1
59,82,36,14,17,32,1
54,66,31,10,21,23,1
55,79,24,18,26,38,1
66,94,30,15,20,28,1
60,82,50,16,64,26,1
68,92,54,16,76,28,1
68,93,57,16,61,32,1
64,84,51,16,65,25,1
61,80,50,11,72,14,1
61,83,52,15,68,24,1
68,87,54,13,67,22,1
71,99,56,15,48,32,1
65,90,51,12,61,25,1
67,91,54,12,57,25,1
55,73,52,11,58,17,1
69,91,53,12,58,20,1
61,84,51,20,44,33,1
77,98,59,15,49,27,1
47,65,22,11,24,24,1
40,54,24,10,23,26,1
57,79,24,12,23,27,1
52,76,24,15,22,34,1
56,79,22,16,28,36,1
60,91,24,21,27,37,1
74,108,22,20,23,38,2
56,77,27,11,21,24,1
54,70,29,12,16,24,1
56,76,23,14,17,32,1
47,61,24,16,18,29,1
55,73,21,15,19,33,1
62,74,51,10,57,14,1
59,74,50,9,51,11,1
68,82,54,12,39,17,1
64,83,53,14,45,20,1
57,72,53,13,66,21,1
67,83,61,20,46,33,1
60,79,53,11,54,17,1
46,59,46,9,61,7,1
55,73,51,10,58,8,1
67,87,52,10,63,8,1
54,70,55,11,51,13,1
56,77,52,13,55,21,1
66,87,53,12,56,17,1
60,81,58,13,65,21,1
64,90,62,15,66,28,1
73,97,64,18,57,34,1
86,116,74,19,72,30,2
56,64,52,12,66,19,1
62,83,52,12,64,20,1
60,73,52,10,62,13,1
66,81,53,11,63,16,1
60,76,46,13,66,21,1
53,65,55,17,51,28,1
55,83,12,9,25,16,1
61,102,23,13,35,20,2
39,66,20,9,60,15,1
39,69,19,15,151,20,2
50,76,20,8,71,15,1
35,58,17,6,47,13,1
46,76,22,8,66,13,1
53,73,45,10,25,15,1
60,85,49,12,31,19,1
51,60,45,7,27,13,1
51,68,51,5,23,11,1
73,117,38,20,21,21,2
54,77,37,7,27,16,1
51,78,38,22,25,20,1
56,87,39,9,29,15,1
46,66,37,6,31,11,1
42,73,37,7,31,12,1
75,112,36,13,24,13,2
49,74,37,4,28,17,1
55,95,37,9,27,20,1
50,79,41,6,26,18,1
57,91,40,10,29,26,1
59,93,41,9,37,24,1
47,77,22,9,27,15,1
42,69,34,7,25,12,1
50,77,40,10,19,24,1
54,90,25,14,21,25,1
37,67,19,11,29,20,1
50,82,21,20,31,32,1
43,74,21,8,30,14,1
33,58,17,6,38,6,1
40,72,23,8,38,8,1
53,89,29,9,38,13,1
65,115,25,14,31,13,2
51,81,24,10,25,13,1
39,69,23,8,28,8,1
45,75,22,10,29,13,1
30,56,24,7,39,12,1
51,87,26,8,28,16,1
50,84,25,13,26,24,1
52,90,21,14,30,21,1
63,109,24,23,27,40,2
64,108,25,17,30,25,2
48,79,34,7,24,17,1
34,61,32,5,20,11,1
49,77,37,8,20,19,1
54,88,37,11,19,29,1
46,66,24,15,18,29,1
52,82,21,11,27,18,1
64,77,59,16,41,43,1
59,84,45,10,23,14,1
53,69,45,7,25,10,1
36,54,41,6,27,12,1
54,73,46,7,32,11,1
69,102,45,14,29,16,2
60,88,45,11,30,13,1
58,86,43,10,35,11,1
68,104,45,14,27,14,2
57,83,46,10,29,14,1
53,80,44,10,33,15,1
66,100,46,13,31,17,1
66,100,46,11,32,15,1
57,81,44,10,33,11,1
62,92,47,9,31,13,1
63,94,46,10,42,17,1
87,27,46,16,38,17,1
64,27,10,19,38,32,1
51,87,41,7,23,20,1
53,90,38,8,21,19,1
54,92,40,7,21,17,1
48,82,40,6,26,16,1
56,102,39,11,27,23,2
57,104,40,8,21,20,2
55,101,40,11,19,25,2
58,98,41,9,21,21,1
63,114,39,11,15,21,2
55,100,41,8,17,21,1
58,97,38,9,30,20,1
67,119,42,13,28,28,2
50,85,39,8,25,21,1
74,134,43,14,22,29,2
61,110,42,11,26,24,2
62,106,42,9,26,28,2
58,105,39,10,28,22,2
76,140,41,16,30,31,2
44,70,30,8,29,11,1
46,75,27,8,27,12,1
46,74,33,7,26,18,1
50,78,30,9,17,21,1
45,61,39,4,21,14,1
26,52,27,6,24,14,1
54,92,29,11,25,25,1
54,78,32,7,27,18,1
61,100,33,11,21,32,1
73,116,38,14,26,40,2
62,87,33,12,17,30,1
59,89,32,8,26,19,1
55,81,39,8,34,27,1
58,89,32,10,31,24,1
62,94,35,12,24,29,1
60,97,31,7,32,12,1
63,95,31,10,29,20,1
64,96,32,9,31,14,1
63,100,31,8,44,12,1
67,111,32,10,36,13,2
60,92,30,7,32,14,1
56,86,42,8,21,21,1
63,106,40,15,29,25,2
52,82,41,12,27,24,1
45,80,42,8,26,19,1
59,109,43,10,33,30,2
63,88,29,15,24,38,1
60,83,29,11,30,28,1
60,82,27,11,37,30,1
58,77,26,10,31,28,1
63,85,27,11,28,28,1
68,92,31,11,26,24,1
52,65,28,9,19,24,1
45,62,25,12,27,31,1
51,66,27,10,25,32,1
66,93,32,12,34,41,1
61,80,26,10,28,27,1
51,64,29,8,23,21,1
54,81,29,20,20,45,1
48,65,29,9,23,24,1
50,73,29,8,23,22,1
51,69,27,10,25,34,1
55,81,28,11,29,36,1
57,80,29,11,24,32,1
57,74,34,8,20,26,1
49,67,31,7,24,20,1
52,72,28,6,28,19,1
45,63,25,9,24,28,1
54,76,26,12,29,38,1
63,94,27,13,38,37,1
79,102,55,14,30,29,2
66,89,52,10,39,19,1
66,87,51,9,39,18,1
62,79,50,9,37,18,1
66,82,51,9,36,12,1
56,71,52,9,27,14,1
36,47,50,8,47,15,0
46,66,51,7,53,9,1
58,81,52,11,54,25,1
55,81,52,8,50,13,1
57,83,46,13,32,14,1
65,99,46,15,29,16,1
56,86,45,9,39,13,1
61,93,46,11,36,14,1
60,82,48,12,29,15,1
48,61,46,9,31,12,1
61,89,50,10,43,16,1
55,78,47,9,30,13,1
51,65,47,8,26,11,1
32,51,46,7,21,11,1
53,81,50,17,24,22,1
47,72,49,7,29,13,1
55,80,50,9,27,15,1
56,81,48,10,31,12,1
45,59,49,7,33,10,1
57,78,49,14,26,18,1
57,82,51,10,29,16,1
55,77,52,8,27,15,1
54,75,50,11,22,16,1
54,74,50,10,27,13,1
48,71,49,12,26,16,1
68,118,40,16,26,27,2
62,111,42,10,34,23,2
57,93,42,9,31,19,1
78,104,54,10,63,17,2
56,75,51,12,50,23,1
79,111,62,11,56,26,2
82,114,55,11,58,17,2
74,100,51,10,77,13,1
86,113,51,14,60,19,2
54,72,52,9,58,13,1
60,82,53,11,54,22,1
66,95,54,13,51,30,1
81,112,55,16,54,28,2
79,109,54,12,46,22,2
82,112,56,12,41,27,2
82,113,53,13,40,28,2
69,97,52,12,53,24,1
90,117,54,12,81,29,2
60,84,47,7,23,18,1
67,105,46,7,38,15,2
68,102,44,7,32,16,2
73,109,48,8,31,17,2
71,110,50,6,33,16,2
60,80,47,5,21,14,1
84,123,49,7,29,16,2
70,102,49,5,31,14,2
79,121,49,5,33,16,2
80,122,48,4,33,17,2
54,81,45,4,19,13,1
57,79,49,5,22,20,1
63,91,46,5,38,16,1
51,73,45,4,29,12,1
68,102,47,6,32,17,2
69,103,49,6,28,17,2
76,124,49,18,26,20,2
75,29,51,14,43,21,1
57,26,9,18,31,29,1
62,114,37,13,23,27,2
59,108,40,10,18,23,2
84,161,38,14,27,22,2
83,153,39,13,31,26,2
58,100,38,9,31,22,1
69,130,40,12,26,26,2
87,156,42,11,30,25,2
71,132,45,9,29,21,2
66,119,39,10,21,17,2
67,119,39,11,20,23,2
95,174,40,15,22,24,2
71,138,37,11,24,29,2
73,134,35,9,26,19,2
75,150,37,12,32,22,2
74,140,36,11,32,21,2
80,147,38,13,26,21,2
57,110,39,9,28,26,2
56,104,37,12,27,25,2
81,148,38,22,28,24,2
68,131,39,14,24,25,2
73,145,39,14,24,27,2
66,130,40,12,25,25,2
56,100,38,9,29,22,1
56,90,29,23,11,51,1
60,103,31,13,20,27,2
73,126,32,13,26,25,2
66,115,35,11,36,20,2
65,113,40,11,34,22,2
55,85,42,6,26,17,1
51,82,38,9,20,26,1
75,129,35,14,26,26,2
70,114,33,11,30,22,2
